Total number of row buffer updates : 15

Total number of instructions executed completely per core: -

Core 1: 19

CPI: 10.4737

Memory contents (non-zero) 

1000-1003 = 1

Cycle numbers  Instructions CORE1          Register CORE1           MRM                                                                                                 DRAM                                              Fowarded instructions (if any)                                                                      
75             IDLE                        IDLE                     Finding a new row for DRAM                                                                          Column Access 980                                 ----
76             IDLE                        $t6 = 0                  passing new instruction to DRAM: lw $t2 3000                                                        IDLE                                              ----
77             IDLE                        IDLE                     IDLE                                                                                                Writeback row 1                                   ----
78             IDLE                        IDLE                     IDLE                                                                                                Writeback row 1                                   ----
79             IDLE                        IDLE                     IDLE                                                                                                Writeback row 1                                   ----
80             IDLE                        IDLE                     IDLE                                                                                                Writeback row 1                                   ----
81             IDLE                        IDLE                     IDLE                                                                                                Writeback row 1                                   ----
82             IDLE                        IDLE                     IDLE                                                                                                Writeback row 1                                   ----
83             IDLE                        IDLE                     IDLE                                                                                                Writeback row 1                                   ----
84             IDLE                        IDLE                     IDLE                                                                                                Writeback row 1                                   ----
85             IDLE                        IDLE                     IDLE                                                                                                Writeback row 1                                   ----
86             IDLE                        IDLE                     IDLE                                                                                                Writeback row 1                                   ----
87             IDLE                        IDLE                     IDLE                                                                                                Activate row 2                                    ----
88             IDLE                        IDLE                     IDLE                                                                                                Activate row 2                                    ----
89             IDLE                        IDLE                     IDLE                                                                                                Activate row 2                                    ----
90             IDLE                        IDLE                     IDLE                                                                                                Activate row 2                                    ----
91             IDLE                        IDLE                     IDLE                                                                                                Activate row 2                                    ----
92             IDLE                        IDLE                     IDLE                                                                                                Activate row 2                                    ----
93             IDLE                        IDLE                     IDLE                                                                                                Activate row 2                                    ----
94             IDLE                        IDLE                     IDLE                                                                                                Activate row 2                                    ----
95             IDLE                        IDLE                     IDLE                                                                                                Activate row 2                                    ----
96             IDLE                        IDLE                     IDLE                                                                                                Activate row 2                                    ----
97             IDLE                        IDLE                     IDLE                                                                                                Column Access 952                                 ----
98             IDLE                        IDLE                     passing new instruction to DRAM: lw $t1 3000                                                        Column Access 952                                 ----
99             IDLE                        $t2 = 0                  IDLE                                                                                                Column Access 952                                 ----
100            IDLE                        IDLE                     Finding a new row for DRAM                                                                          Column Access 952                                 ----
101            sw $t1, 3000($zero)         $t1 = 0                  passing new instruction to DRAM: lw $t3 4000                                                        IDLE                                              ----
102            lw $t1, 3004($zero)         IDLE                     Pushing into MRM Buffer                                                                             Activate row 3                                    ----
103            lw $t1, 1000($zero)         IDLE                     Pushing into MRM Buffer                                                                             Activate row 3                                    ----
104            sw $t2, 1004($zero)         IDLE                     Pushing into MRM Buffer                                                                             Activate row 3                                    ----
105            Read : lw $t1, 5000($zero)  IDLE                     Pushing into MRM Buffer                                                                             Activate row 3                                    ----
106            IDLE                        IDLE                     IDLE                                                                                                Activate row 3                                    ----
107            IDLE                        IDLE                     IDLE                                                                                                Activate row 3                                    ----
108            IDLE                        IDLE                     IDLE                                                                                                Activate row 3                                    ----
109            IDLE                        IDLE                     IDLE                                                                                                Activate row 3                                    ----
110            IDLE                        IDLE                     IDLE                                                                                                Activate row 3                                    ----
111            IDLE                        IDLE                     IDLE                                                                                                Activate row 3                                    ----
112            IDLE                        IDLE                     IDLE                                                                                                Column Access 928                                 ----
113            IDLE                        IDLE                     Finding a new row for DRAM                                                                          Column Access 928                                 ----
114            IDLE                        $t3 = 0                  passing new instruction to DRAM: sw $t4 5000                                                        IDLE                                              ----
115            IDLE                        IDLE                     IDLE                                                                                                Activate row 4                                    ----
116            IDLE                        IDLE                     IDLE                                                                                                Activate row 4                                    ----
117            IDLE                        IDLE                     IDLE                                                                                                Activate row 4                                    ----
118            IDLE                        IDLE                     IDLE                                                                                                Activate row 4                                    ----
119            IDLE                        IDLE                     IDLE                                                                                                Activate row 4                                    ----
120            IDLE                        IDLE                     IDLE                                                                                                Activate row 4                                    ----
121            IDLE                        IDLE                     IDLE                                                                                                Activate row 4                                    ----
122            IDLE                        IDLE                     IDLE                                                                                                Activate row 4                                    ----
123            IDLE                        IDLE                     IDLE                                                                                                Activate row 4                                    ----
124            IDLE                        IDLE                     IDLE                                                                                                Activate row 4                                    ----
125            IDLE                        IDLE                     IDLE                                                                                                Column Access 904                                 ----
126            IDLE                        IDLE                     Finding a new row for DRAM                                                                          5000-5003=0                                       ----
127            IDLE                        IDLE                     passing new instruction to DRAM: sw $t1 3000                                                        IDLE                                              ----
128            IDLE                        IDLE                     IDLE                                                                                                Writeback row 4                                   ----
129            IDLE                        IDLE                     IDLE                                                                                                Writeback row 4                                   ----
130            IDLE                        IDLE                     IDLE                                                                                                Writeback row 4                                   ----
131            IDLE                        IDLE                     IDLE                                                                                                Writeback row 4                                   ----
132            IDLE                        IDLE                     IDLE                                                                                                Writeback row 4                                   ----
133            IDLE                        IDLE                     IDLE                                                                                                Writeback row 4                                   ----
134            IDLE                        IDLE                     IDLE                                                                                                Writeback row 4                                   ----
135            IDLE                        IDLE                     IDLE                                                                                                Writeback row 4                                   ----
136            IDLE                        IDLE                     IDLE                                                                                                Writeback row 4                                   ----
137            IDLE                        IDLE                     IDLE                                                                                                Writeback row 4                                   ----
138            IDLE                        IDLE                     IDLE                                                                                                Activate row 2                                    ----
139            IDLE                        IDLE                     IDLE                                                                                                Activate row 2                                    ----
140            IDLE                        IDLE                     IDLE                                                                                                Activate row 2                                    ----
141            IDLE                        IDLE                     IDLE                                                                                                Activate row 2                                    ----
142            IDLE                        IDLE                     IDLE                                                                                                Activate row 2                                    ----
143            IDLE                        IDLE                     IDLE                                                                                                Activate row 2                                    ----
144            IDLE                        IDLE                     IDLE                                                                                                Activate row 2                                    ----
145            IDLE                        IDLE                     IDLE                                                                                                Activate row 2                                    ----
146            IDLE                        IDLE                     IDLE                                                                                                Activate row 2                                    ----
147            IDLE                        IDLE                     IDLE                                                                                                Activate row 2                                    ----
148            IDLE                        IDLE                     IDLE                                                                                                Column Access 952                                 ----
149            IDLE                        IDLE                     Finding a new row for DRAM                                                                          3000-3003=0                                       ----
150            IDLE                        IDLE                     passing new instruction to DRAM: lw $t1 1000                                                        IDLE                                              ----
151            IDLE                        IDLE                     IDLE                                                                                                Writeback row 2                                   ----
152            IDLE                        IDLE                     IDLE                                                                                                Writeback row 2                                   ----
153            IDLE                        IDLE                     IDLE                                                                                                Writeback row 2                                   ----
154            IDLE                        IDLE                     IDLE                                                                                                Writeback row 2                                   ----
155            IDLE                        IDLE                     IDLE                                                                                                Writeback row 2                                   ----
156            IDLE                        IDLE                     IDLE                                                                                                Writeback row 2                                   ----
157            IDLE                        IDLE                     IDLE                                                                                                Writeback row 2                                   ----
158            IDLE                        IDLE                     IDLE                                                                                                Writeback row 2                                   ----
159            IDLE                        IDLE                     IDLE                                                                                                Writeback row 2                                   ----
160            IDLE                        IDLE                     IDLE                                                                                                Writeback row 2                                   ----
161            IDLE                        IDLE                     IDLE                                                                                                Activate row 0                                    ----
162            IDLE                        IDLE                     IDLE                                                                                                Activate row 0                                    ----
163            IDLE                        IDLE                     IDLE                                                                                                Activate row 0                                    ----
164            IDLE                        IDLE                     IDLE                                                                                                Activate row 0                                    ----
